"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"789",2022-03-20,6833.10051333283,1058.60764579937,326.569609112178,495.161479459287,5036.88210627024,1017.63413397435,2425.80150018575,2013.70752253136,2075.76443220714,1611.38269487674,3479.95108072152,2612.51726055212,246.020672162489,1027.00928176435,1384.42227514435,3619.74782913049,2554.23408050436,2091.89208560436,530.635648422985,4653.71724592576,393.442023730031,1661.40277486258,246.094946353898,2820.36928890447,1593.58318580158,192.772662468958,1462.30042195977
"790",2022-03-21,6945.66686703297,1111.4118880166,319.398220495629,498.473350234505,5459.53357635983,1014.84534920844,2305.16935605962,1958.83214323455,2136.22200688339,1625.90975230837,3496.67732937916,2751.34762614434,245.887649297701,1378.11363228553,1402.28688930165,3555.05925098752,2540.34809447051,2239.3116726992,566.902842416003,4465.47113344551,389.705139561432,1641.12372777929,241.191384276605,2796.53626756539,1608.76886436113,192.772662468958,1611.67223570018
"791",2022-03-22,6998.51841817859,1156.57789053468,316.012525073075,504.312055749334,5571.19028563796,1015.24911265939,2166.10825787653,1860.63012333751,2139.97342113938,1756.82040123539,3575.31093434962,2804.04889730609,246.992762328252,1446.48304324421,1462.17965257724,3381.82719711995,2496.29229857447,2252.66902755199,602.156986297484,4316.90176744659,381.759981325586,1626.71237042307,239.537977315669,2750.39304303282,1697.52819442282,145.686514955497,1660.56257621486
"792",2022-03-23,7030.78021509746,1297.66272484031,310.755411505564,491.77601155573,5781.03183129562,1015.25850250709,1982.38708691801,1781.82696517263,2147.25877636116,1883.45873732966,3657.07273086291,2801.87632190257,249.172290805173,1555.49075901669,1509.46794729039,3178.07380123002,2431.90856436083,2285.57373096984,650.175561584329,4134.87594116547,371.186626895053,1611.98962654734,241.315003488637,2710.65299359444,1752.93669878726,124.484552332143,1713.67365475641
"793",2022-03-24,7070.8647640334,1235.75370090172,306.912575772792,499.945292801269,5976.60232515393,1077.5507521268,1829.08230181425,1704.75989190984,2191.67769588499,1980.93700878382,3724.08733867424,2804.1514652436,251.976003493794,1653.60993752345,1555.01500955623,2983.7476457941,2345.65798100626,2449.60856434498,703.259387428859,3929.92474379509,359.501951027488,1605.60620289732,244.008872150848,2648.62108816915,1799.55096525171,162.626580066734,1734.27019613393
"794",2022-03-25,6969.63180575192,1239.86525621406,302.598314095107,506.740760984494,6011.88036520192,1071.86989427031,1688.3333181194,1651.54511556287,2001.67853134488,2087.14345269998,3776.6799837045,2757.28724216169,255.7722714043,1654.05852894638,1592.18560060077,2806.81761362689,2269.85767580088,2648.50283599449,769.310254701059,3732.07913847358,350.542909490085,1597.51988421871,247.877123327368,2594.9004673217,1828.62481186098,148.179138500428,1741.46780733725
"795",2022-03-26,6831.01218847978,1239.86525621406,298.941191613361,507.035149497847,6281.31782317368,993.079682247554,1640.64194075143,1605.80305249015,2001.67853134488,2190.09828304208,3794.67581799408,2734.49851131963,255.7722714043,1654.05852894638,1625.14807516942,2597.64746079101,2283.56471871573,2648.50283599449,823.00191061251,3547.47261670892,338.731827392715,1578.12634255028,249.715959106353,2549.5461726718,1862.69647673035,148.179138500428,1741.46780733725
"796",2022-03-27,6711.79705997725,1239.86525621406,296.641204427575,507.15781137841,6509.6546519633,979.821217299855,1583.82220296272,1551.15411905014,2001.67853134488,2266.40898288169,3752.05556333086,2747.95355984872,255.7722714043,1654.05852894638,1642.68299831148,2514.83358055968,2260.23053599906,2648.50283599449,859.87693467245,3389.36740730891,327.971497080595,1567.87004906381,251.328159663278,2506.98065342108,1870.43348384455,148.179138500428,1741.46780733725
"797",2022-03-28,6576.63164489447,1303.85188135081,282.484140445503,507.206876130636,6819.27939180202,1062.78991154763,1505.97278956322,1524.58447185278,1782.68292811112,2277.48744968934,3722.09021061185,2792.77574853848,309.216765465136,1817.69244572044,1645.76784590129,2454.05131752196,2212.13062561378,2824.75476222279,830.903701482497,3248.27974368718,320.260717062513,1554.77235358679,250.627650795093,2488.57840522778,1872.16349785767,148.179138500428,1807.37463912915
"798",2022-03-29,6424.70318977511,1303.85188135081,272.55562433295,500.68126408465,7024.21169564071,1044.75201412233,1412.088463802,1430.23203152126,1768.69214644144,2427.99880733381,3768.42165439463,2815.63907424417,326.919039010081,1810.61693554965,1668.76669350694,2279.4129902165,2114.57083713886,2857.82236021202,791.597357154869,3119.82360078423,304.238727434776,1545.84918363699,247.650488105308,2408.71301501297,1883.21636516367,112.236484481952,1749.49816280111
"799",2022-03-30,6265.43737706398,1079.50586961621,261.51282871424,491.726946803505,7145.23021489921,1013.52138068321,1322.97499810974,1374.97924246313,1731.05114446225,2517.8203420975,3775.50917038927,2804.04889730609,306.494913001,1808.94491297326,1664.23385623212,2139.04606743446,1993.46213420448,2900.01205419828,1084.97666945593,2931.87259025389,281.235427073455,1526.01775467549,245.95072393986,2305.85857496146,1891.28976389153,94.5046448329136,1743.2923425099
"800",2022-03-31,5928.52849293497,1352.96358026206,253.270017495617,485.225867133632,7190.66924382834,993.952938083344,1247.27849990381,1330.82230038798,1826.12321782904,2619.21875529516,4055.63227875938,2774.58392616824,318.272552798822,1915.85240526565,1650.97331911675,1969.87658127635,1893.61187380645,2953.27857903807,1177.36683962809,2768.55391307211,262.074349405569,1502.58591908213,240.485724607919,2218.28735798574,1878.79521824127,138.267294286467,1719.20127611831
"801",2022-04-01,5637.7095027247,1352.96358026206,245.155776989242,473.033276205607,7181.87827591994,973.285883302973,1174.66497625507,1293.00584230311,1872.33629199704,2695.39813710149,NA,2751.09586847956,308.091187378463,2032.58812782409,1648.4269116272,1843.25988766479,1806.64551797591,2895.77679534252,1249.90122761412,2580.68391092018,242.009993887205,1483.40645564586,236.220861792794,2145.50398950833,1844.67549742708,118.91280558465,1685.16229180343
